Question,Answer
"Chào bạn, bạn khỏe không?",Tôi khỏe. Còn bạn thì sao?
Tôi khỏe. Còn bạn thì sao?,Tôi khá khỏe. Cảm ơn bạn đã hỏi.
Tôi khá khỏe. Cảm ơn bạn đã hỏi.,Không có gì. Vậy bạn dạo này thế nào?
Không có gì. Vậy bạn dạo này thế nào?,Tôi ăn lắm. Còn bạn thì sao?
Tôi ăn lắm. Còn bạn thì sao?,Tôi cũng ăn. Hiện tại tôi đang ở trường.
Tôi cũng ăn. Hiện tại tôi đang ở trường.,Bạn học trường nào vậy?
Bạn học trường nào vậy?,Tôi học trường PCC.
Tôi học trường PCC.,Bạn thích trường đó không?
Bạn thích trường đó không?,Cũng được. Trường có khuôn viên rất rộng.
Cũng được. Trường có khuôn viên rất rộng.,Chúc bạn may mắn với việc học nhé.
Chúc bạn may mắn với việc học nhé.,Cảm ơn bạn rất nhiều.
Mọi chuyện thế nào rồi?,Tôi ăn. Còn bạn thì sao?
Tôi ăn. Còn bạn thì sao?,"Chưa bao giờ tốt hơn, cảm ơn."
"Chưa bao giờ tốt hơn, cảm ơn.",Vậy dạo này bạn thế nào?
Vậy dạo này bạn thế nào?,Thực ra tôi cũng khá ăn. Còn bạn?
Thực ra tôi cũng khá ăn. Còn bạn?,Tôi hiện đang ở trường.
Tôi hiện đang ở trường.,Bạn học trường nào vậy?
Bạn học trường nào vậy?,Tôi đang học tại PCC.
Tôi đang học tại PCC hiện tại.,Bạn có thích trường đó không?
Bạn có thích trường đó không?,Cũng không tệ. Ở đó có rất nhiều người.
Cũng không tệ. Ở đó có rất nhiều người.,Chúc bạn may mắn với việc học nhé.
Chúc bạn may mắn với việc học nhé.,Cảm ơn.
Hôm nay bạn thế nào?,Tôi rất ăn. Còn bạn thì sao?
Tôi rất ăn. Còn bạn thì sao?,"Tôi tuyệt vời, cảm ơn bạn."
"Tôi tuyệt vời, cảm ơn bạn.",Mọi chuyện ăn với bạn chưa?
Mọi chuyện ăn với bạn chưa?,Tôi chưa bao giờ ăn hết thỏa mãn. Còn bạn thì sao?
Tôi chưa bao giờ ăn hết thỏa mãn. Còn bạn thì sao?,Tôi vừa mới bắt đầu đi học.
Tôi vừa mới bắt đầu đi học.,Bạn học trường nào vậy?
Bạn học trường nào vậy?,Tôi học tại PCC.
Tôi học tại PCC.,Bạn thấy thế nào về trường đó cho đến giờ?
Bạn thấy thế nào về trường đó cho đến giờ?,Tôi thích nó. Các lớp học của tôi hiện tại khá tốt.
Tôi thích nó. Các lớp học của tôi hiện tại khá tốt.,Chúc bạn may mắn nhé.
Hôm nay trời xấu quá.,Tôi biết. Tôi nghĩ có thể trời sẽ mưa.
Tôi biết. Tôi nghĩ có thể trời sẽ mưa.,"Giữa mùa hè rồi, sáng lạ không nên mưa hôm nay."
"Giữa mùa hè rồi, sáng lạ không nên mưa hôm nay.",Thật kỳ lạ nếu mưa bây giờ.
Thật kỳ lạ nếu mưa bây giờ.,"Đúng vậy, đặc biệt là khi nhiệt độ ngoài trời lên đến hơn 90 độ."
"Đúng vậy, đặc biệt là khi nhiệt độ ngoài trời lên đến hơn 90 độ.","Tôi biết, sẽ thật tồi tệ nếu mưa và ngoài trời vẫn nóng."
"Tôi biết, sẽ thật tồi tệ nếu mưa và ngoài trời vẫn nóng.","Đúng vậy, điều đó sẽ thật kinh khủng."
"Đúng vậy, điều đó sẽ thật kinh khủng.",Tôi thật sự không phải ngày nào cũng nóng như vậy.
Tôi thật sự không phải ngày nào cũng nóng như vậy.,Tôi cũng vậy. Tôi mong mùa đông đến nhanh.
Tôi cũng vậy. Tôi mong mùa đông đến nhanh.,"Tôi cũng thích mùa đông, nhưng đôi khi nó lại quá lạnh."
"Tôi cũng thích mùa đông, nhưng đôi khi nó lại quá lạnh.",Tôi thà lạnh còn hơn nóng.
Tôi thà lạnh còn hơn nóng.,Tôi cũng vậy.
Hôm nay trời không đẹp lắm.,Bạn đúng rồi. Tôi nghĩ trời sẽ mưa sau đó.
Bạn đúng rồi. Tôi nghĩ trời sẽ mưa sau đó.,"Giữa mùa hè rồi, không lạ trời lại mưa."
"Giữa mùa hè rồi, không lạ trời lại mưa.",Thật lạ nếu mưa ngay bây giờ.
Thật lạ nếu mưa ngay bây giờ.,"Với nhiệt độ ngoài trời hơn 90 độ, điều đó thật kỳ lạ."
"Với nhiệt độ ngoài trời hơn 90 độ, điều đó thật kỳ lạ.","Chính xác, sẽ không vui nếu trời mưa. Quá nóng rồi."
"Chính xác, sẽ không vui nếu trời mưa. Quá nóng rồi.","Tôi biết, bạn hoàn toàn đúng."
"Tôi biết, bạn hoàn toàn đúng.",Tôi được gì ngày nào cũng mát mẻ một chút.
Tôi được gì ngày nào cũng mát mẻ một chút.,"Tôi cũng có cảm giác như vậy, tôi mong mùa đông đến sớm."
"Tôi cũng có cảm giác như vậy, tôi mong mùa đông đến sớm.","Tôi thích mùa đông, nhưng đôi khi nó lạnh quá."
"Tôi thích mùa đông, nhưng đôi khi nó lạnh quá.","Tôi hiểu ý bạn, nhưng tôi thà lạnh còn hơn nóng."
